OBJECTID,FACILITYID,FIPSCODE,GEOID,CENSUSTRACT,GEOGRAPHICAREANAME,POPTOTAL,HOUSEHOLDCOUNT,RACEHISPANICORIGIN,RACEHISPANICRATIO,RACEWHITENONHISP,RACEWHITERATIO,RACEBLACKNONHISP,RACEBLACKRATIO,RACEASIANNONHISP,RACEASIANRATIO,RACEOTHER,RACEOTHERRATIO,RACEBIPOC,RACEBIPOCRATIO,EQUITYSCORERACE,INCMEDIANINCOME,EQUITYSCOREINCOME,INCMEDIANHISPANIC,INCMEDIANWHITE,INCMEDIANBLACK,INCMEDIANASIAN,INCMEDIANOTHER,EQUITYSCORECOMBINED,LANGGROUPPOPULATION,LEPTOTAL,LEPRATIO,LEPSPANISH,LEPSPANISHRATIO,LEPINDOEUROPEAN,LEPINDOEUROPEANRATIO,LEPASIANPACIFICISLAND,LEPASIANPACIFICISLANDRATIO,LEPOTHER,LEPOTHERRATIO,EQUITYSCORELANG,EDUGROUPPOPULATION,EDULESSTHANHS,EDULESSTHANHSRATIO,EQUITYSCOREEDU,LASTUPDATESOURCE,LASTUPDATE,ENTERPRISEID,INSANJOSE,Shape_Length,Shape_Area
1,249,06085507807,1400000US06085507807,5078.07,"Census Tract 5078.07, Santa Clara County, California",3432,1093,95,0.028,546,0.159,0,0,2641,0.77,150,0.044,2886,0.841,4,250000,1,,191250,,250000,,5,3272,324,0.099,0,0,21,0.065,285,0.88,18,0.056,1,2246,2,0.001,1,ACSDT5Y2022,2024/04/23 16:27:27+00,REF-CDTR-0000000249,Partial,16070.6793037614,10731074.5705656
2,179,06085505012,1400000US06085505012,5050.12,"Census Tract 5050.12, Santa Clara County, California",2879,1456,167,0.058,883,0.307,79,0.027,1666,0.579,84,0.029,1996,0.693,2,201190,1,173262,223382,,223512,173445,3,2691,555,0.206,24,0.043,70,0.126,451,0.813,10,0.018,3,2367,10,0.004,1,ACSDT5Y2022,2024/04/23 16:26:58+00,REF-CDTR-0000000179,Yes,20015.7875675989,11438861.6361989
3,341,06085511910,1400000US06085511910,5119.10,"Census Tract 5119.10, Santa Clara County, California",3051,1082,162,0.053,1934,0.634,0,0,716,0.235,239,0.078,1117,0.366,1,250000,1,,250000,,250000,250000,2,2994,128,0.043,10,0.078,39,0.305,79,0.617,0,0,1,2312,14,0.006,1,ACSDT5Y2022,2024/04/23 16:28:15+00,REF-CDTR-0000000341,Yes,25606.5590244263,24421079.0917197
4,348,06085511917,1400000US06085511917,5119.17,"Census Tract 5119.17, Santa Clara County, California",4220,1575,42,0.01,1630,0.386,0,0,2427,0.575,121,0.029,2590,0.614,2,239073,1,,188438,,240658,,3,4175,619,0.148,0,0,75,0.121,484,0.782,60,0.097,2,3060,26,0.008,1,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000348,Yes,26970.9591676005,30775498.6016403
5,46,06085502903,1400000US06085502903,5029.03,"Census Tract 5029.03, Santa Clara County, California",5270,1881,885,0.168,3085,0.585,0,0,1005,0.191,295,0.056,2185,0.415,1,219107,1,221154,208864,,241250,412829,2,4775,249,0.052,57,0.229,36,0.145,156,0.627,0,0,1,3728,33,0.009,1,ACSDT5Y2022,2024/04/23 16:25:52+00,REF-CDTR-0000000046,Yes,19907.6787797619,20265076.1562266
6,180,06085505013,1400000US06085505013,5050.13,"Census Tract 5050.13, Santa Clara County, California",5965,2680,871,0.146,1026,0.172,25,0.004,3891,0.652,152,0.025,4939,0.828,3,185227,1,119872,133913,,233018,250032,4,5574,574,0.103,152,0.265,178,0.31,203,0.354,41,0.071,1,4899,49,0.01,1,ACSDT5Y2022,2024/04/23 16:26:59+00,REF-CDTR-0000000180,Yes,10392.582885558,6534699.42035029
7,345,06085511914,1400000US06085511914,5119.14,"Census Tract 5119.14, Santa Clara County, California",6327,1967,365,0.058,3350,0.529,282,0.045,1593,0.252,737,0.116,2977,0.471,1,247039,1,250000,215054,,250000,250000,2,5969,511,0.086,40,0.078,192,0.376,189,0.37,90,0.176,1,4196,41,0.01,1,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000345,Yes,25371.7338995493,29886305.9164048
8,175,06085505006,1400000US06085505006,5050.06,"Census Tract 5050.06, Santa Clara County, California",11716,5586,578,0.049,1924,0.164,104,0.009,8919,0.761,191,0.016,9792,0.836,3,205610,1,,221188,,210641,176481,4,10600,1067,0.101,109,0.102,327,0.306,631,0.591,0,0,1,9203,94,0.01,1,ACSDT5Y2022,2024/04/23 16:26:56+00,REF-CDTR-0000000175,Yes,65644.6235979737,153359059.372423
9,228,06085506804,1400000US06085506804,5068.04,"Census Tract 5068.04, Santa Clara County, California",4602,1587,327,0.071,2827,0.614,42,0.009,994,0.216,412,0.09,1775,0.386,1,216938,1,,207778,,250000,250000,2,4452,364,0.082,67,0.184,146,0.401,151,0.415,0,0,1,3109,33,0.011,1,ACSDT5Y2022,2024/04/23 16:27:09+00,REF-CDTR-0000000228,Yes,20835.4550022865,16597838.8203835
10,344,06085511913,1400000US06085511913,5119.13,"Census Tract 5119.13, Santa Clara County, California",4624,1432,612,0.132,2778,0.601,18,0.004,872,0.189,344,0.074,1846,0.399,1,250000,1,250000,250000,,250000,193884,2,4464,303,0.068,34,0.112,86,0.284,157,0.518,26,0.086,1,3018,36,0.012,1,ACSDT5Y2022,2024/04/23 16:28:15+00,REF-CDTR-0000000344,Yes,20210.5050992473,20706398.7423438
11,251,06085507903,1400000US06085507903,5079.03,"Census Tract 5079.03, Santa Clara County, California",5262,1749,82,0.016,822,0.156,8,0.002,4247,0.807,103,0.02,4440,0.844,4,210813,1,,130052,,250000,,5,5047,1316,0.261,21,0.016,45,0.034,1250,0.95,0,0,4,3690,47,0.013,1,ACSDT5Y2022,2024/04/23 16:27:29+00,REF-CDTR-0000000251,Yes,17725.4276387723,16175799.4676719
12,219,06085506604,1400000US06085506604,5066.04,"Census Tract 5066.04, Santa Clara County, California",7362,2423,756,0.103,2756,0.374,23,0.003,3561,0.484,266,0.036,4606,0.626,2,216054,1,,124266,,250000,161576,3,6919,946,0.137,53,0.056,94,0.099,782,0.827,17,0.018,2,5070,73,0.014,1,ACSDT5Y2022,2024/04/23 16:27:09+00,REF-CDTR-0000000219,Yes,30163.4254279962,26450186.1349081
13,67,06085503125,1400000US06085503125,5031.25,"Census Tract 5031.25, Santa Clara County, California",3663,1474,619,0.169,1435,0.392,81,0.022,1295,0.354,233,0.064,2228,0.608,2,159792,2,173958,112679,,190905,287130,4,3402,581,0.171,103,0.177,109,0.188,362,0.623,7,0.012,3,2667,43,0.016,1,ACSDT5Y2022,2024/04/23 16:26:09+00,REF-CDTR-0000000067,Yes,12042.9799765243,7992544.36104841
14,48,06085502907,1400000US06085502907,5029.07,"Census Tract 5029.07, Santa Clara County, California",3912,1336,652,0.167,2044,0.522,84,0.021,834,0.213,298,0.076,1868,0.478,1,170270,2,229688,170781,,130673,171607,3,3737,235,0.063,80,0.34,40,0.17,115,0.489,0,0,1,2901,47,0.016,1,ACSDT5Y2022,2024/04/23 16:25:53+00,REF-CDTR-0000000048,Yes,15084.9759721877,13470597.7519192
15,366,06085512036,1400000US06085512036,5120.36,"Census Tract 5120.36, Santa Clara County, California",4884,1802,1390,0.285,1662,0.34,104,0.021,1411,0.289,317,0.065,3222,0.66,2,143729,3,111438,129792,172794,203875,216275,5,4613,607,0.132,128,0.211,126,0.208,334,0.55,19,0.031,2,3459,62,0.018,1,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000366,Yes,12339.6767191355,8935226.42678627
16,240,06085507402,1400000US06085507402,5074.02,"Census Tract 5074.02, Santa Clara County, California",3980,1502,182,0.046,1702,0.428,0,0,1866,0.469,230,0.058,2278,0.572,2,236161,1,,208261,,250000,250000,3,3836,493,0.129,44,0.089,84,0.17,359,0.728,6,0.012,2,3074,59,0.019,1,ACSDT5Y2022,2024/04/23 16:27:15+00,REF-CDTR-0000000240,Partial,29965.8162008995,26018540.3365598
17,254,06085507906,1400000US06085507906,5079.06,"Census Tract 5079.06, Santa Clara County, California",4481,1401,124,0.028,648,0.145,4,0.001,3536,0.789,169,0.038,3833,0.855,4,250000,1,,142120,,250000,,5,4433,966,0.218,9,0.009,81,0.084,876,0.907,0,0,3,3112,58,0.019,1,ACSDT5Y2022,2024/04/23 16:27:32+00,REF-CDTR-0000000254,Yes,17513.1789151718,15347512.9748064
18,343,06085511912,1400000US06085511912,5119.12,"Census Tract 5119.12, Santa Clara County, California",5705,1717,387,0.068,1987,0.348,0,0,2928,0.513,403,0.071,3718,0.652,2,250000,1,158152,214107,,250000,250000,3,5548,713,0.129,3,0.004,107,0.15,576,0.808,27,0.038,2,3820,71,0.019,1,ACSDT5Y2022,2024/04/23 16:28:15+00,REF-CDTR-0000000343,Yes,25335.0696638963,26359995.0483496
19,229,06085506900,1400000US06085506900,5069.00,"Census Tract 5069, Santa Clara County, California",8174,2802,590,0.072,5426,0.664,85,0.01,1480,0.181,593,0.073,2748,0.336,1,206951,1,250000,169142,250000,250000,462344,2,7934,531,0.067,93,0.175,116,0.218,322,0.606,0,0,1,5517,117,0.021,1,ACSDT5Y2022,2024/04/23 16:27:09+00,REF-CDTR-0000000229,Partial,50891.2300393523,101071685.991091
20,185,06085505203,1400000US06085505203,5052.03,"Census Tract 5052.03, Santa Clara County, California",5476,1386,855,0.156,2594,0.474,213,0.039,1577,0.288,237,0.043,2882,0.526,1,117000,4,84135,95781,,135333,124318,5,5263,416,0.079,33,0.079,78,0.188,297,0.714,8,0.019,1,1971,44,0.022,1,ACSDT5Y2022,2024/04/23 16:27:00+00,REF-CDTR-0000000185,Partial,18188.1181855646,15454717.605219
21,250,06085507808,1400000US06085507808,5078.08,"Census Tract 5078.08, Santa Clara County, California",5811,1872,122,0.021,1058,0.182,0,0,4363,0.751,268,0.046,4753,0.818,3,250000,1,76357,208750,,250000,193125,4,5555,1029,0.185,9,0.009,107,0.104,906,0.88,7,0.007,3,3750,89,0.024,1,ACSDT5Y2022,2024/04/23 16:27:28+00,REF-CDTR-0000000250,Partial,17818.1168370671,18313153.3205335
22,41,06085502703,1400000US06085502703,5027.03,"Census Tract 5027.03, Santa Clara County, California",4015,1670,521,0.13,1553,0.387,126,0.031,1538,0.383,277,0.069,2462,0.613,2,139702,3,101638,138690,136895,176429,303333,5,3871,367,0.095,30,0.082,76,0.207,261,0.711,0,0,1,2983,77,0.026,1,ACSDT5Y2022,2024/04/23 16:25:47+00,REF-CDTR-0000000041,Yes,19327.437477861,15056939.5858206
23,42,06085502704,1400000US06085502704,5027.04,"Census Tract 5027.04, Santa Clara County, California",4143,1526,304,0.073,1694,0.409,196,0.047,1477,0.357,472,0.114,2449,0.591,2,199167,1,,243555,,230500,,3,3862,523,0.135,12,0.023,97,0.185,414,0.792,0,0,2,3119,81,0.026,1,ACSDT5Y2022,2024/04/23 16:25:48+00,REF-CDTR-0000000042,Yes,20730.5986154842,17558695.5154052
24,95,06085503329,1400000US06085503329,5033.29,"Census Tract 5033.29, Santa Clara County, California",3579,1005,185,0.052,488,0.136,28,0.008,2726,0.762,152,0.042,3091,0.864,4,232098,1,73125,169032,,250000,245662,5,3418,615,0.18,16,0.026,60,0.098,539,0.876,0,0,3,2372,64,0.027,1,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000095,Yes,15920.3098990967,12529000.6214702
25,342,06085511911,1400000US06085511911,5119.11,"Census Tract 5119.11, Santa Clara County, California",5049,2007,445,0.088,2921,0.579,149,0.03,1230,0.244,304,0.06,2128,0.421,1,164821,2,123565,141371,89018,250000,108500,3,4949,657,0.133,30,0.046,241,0.367,270,0.411,116,0.177,2,3858,105,0.027,1,ACSDT5Y2022,2024/04/23 16:28:15+00,REF-CDTR-0000000342,Yes,166818.209594125,410970499.043362
26,38,06085502603,1400000US06085502603,5026.03,"Census Tract 5026.03, Santa Clara County, California",3026,1047,434,0.143,1842,0.609,24,0.008,392,0.13,334,0.11,1184,0.391,1,175592,2,140227,175066,,241250,250000,3,2783,154,0.055,35,0.227,15,0.097,104,0.675,0,0,1,2156,61,0.028,1,ACSDT5Y2022,2024/04/23 16:25:44+00,REF-CDTR-0000000038,Partial,15683.1930146187,13136180.3838428
27,54,06085503003,1400000US06085503003,5030.03,"Census Tract 5030.03, Santa Clara County, California",5050,1787,958,0.19,2907,0.576,30,0.006,926,0.183,229,0.045,2143,0.424,1,172917,2,121667,173877,,198750,157625,3,4668,293,0.063,91,0.311,36,0.123,166,0.567,0,0,1,3586,99,0.028,1,ACSDT5Y2022,2024/04/23 16:25:58+00,REF-CDTR-0000000054,Yes,19401.788036335,20867763.0344987
28,222,06085506701,1400000US06085506701,5067.01,"Census Tract 5067.01, Santa Clara County, California",4268,1309,453,0.106,1849,0.433,21,0.005,1833,0.429,112,0.026,2419,0.567,1,212679,1,94063,188287,,245750,102750,2,4004,530,0.132,56,0.106,113,0.213,346,0.653,15,0.028,2,3018,89,0.029,1,ACSDT5Y2022,2024/04/23 16:27:09+00,REF-CDTR-0000000222,Partial,18206.1341425788,17216382.7240915
29,39,06085502604,1400000US06085502604,5026.04,"Census Tract 5026.04, Santa Clara County, California",3998,2094,839,0.21,2188,0.547,166,0.042,596,0.149,209,0.052,1810,0.453,1,110395,4,162868,103793,,191179,342925,5,3779,220,0.058,28,0.127,28,0.127,136,0.618,28,0.127,1,3058,94,0.031,1,ACSDT5Y2022,2024/04/23 16:25:45+00,REF-CDTR-0000000039,Partial,24646.5672897733,13790026.7248867
30,340,06085511907,1400000US06085511907,5119.07,"Census Tract 5119.07, Santa Clara County, California",4144,1237,226,0.055,1330,0.321,72,0.017,2319,0.56,197,0.048,2814,0.679,2,250000,1,250000,172639,,250000,,3,3991,669,0.168,0,0,90,0.135,579,0.865,0,0,3,2761,88,0.032,1,ACSDT5Y2022,2024/04/23 16:28:14+00,REF-CDTR-0000000340,Yes,24358.2728532202,18713545.8776548
31,252,06085507904,1400000US06085507904,5079.04,"Census Tract 5079.04, Santa Clara County, California",3061,1029,38,0.012,616,0.201,65,0.021,2207,0.721,135,0.044,2445,0.799,3,250000,1,,235000,,250000,,4,2922,489,0.167,0,0,6,0.012,483,0.988,0,0,2,2159,74,0.034,1,ACSDT5Y2022,2024/04/23 16:27:30+00,REF-CDTR-0000000252,Yes,16667.4734975862,13759245.5412403
32,253,06085507905,1400000US06085507905,5079.05,"Census Tract 5079.05, Santa Clara County, California",5181,1973,403,0.078,1017,0.196,100,0.019,3596,0.694,65,0.013,4164,0.804,3,137813,3,,,,193049,81942,6,4924,986,0.2,0,0,112,0.114,858,0.87,16,0.016,3,3524,127,0.036,1,ACSDT5Y2022,2024/04/23 16:27:31+00,REF-CDTR-0000000253,Yes,17930.5550978308,15716195.0914684
33,256,06085508004,1400000US06085508004,5080.04,"Census Tract 5080.04, Santa Clara County, California",5862,2041,254,0.043,1297,0.221,363,0.062,3825,0.653,123,0.021,4565,0.779,3,232563,1,,183355,,238819,,4,5414,740,0.137,44,0.059,145,0.196,551,0.745,0,0,2,4032,148,0.037,1,ACSDT5Y2022,2024/04/23 16:27:33+00,REF-CDTR-0000000256,Partial,16023.5378700756,15569015.6618372
34,206,06085506204,1400000US06085506204,5062.04,"Census Tract 5062.04, Santa Clara County, California",5546,1983,414,0.075,1191,0.215,196,0.035,3525,0.636,220,0.04,4355,0.785,3,188047,1,231029,99556,,244821,241563,4,5311,1620,0.305,51,0.031,213,0.131,1356,0.837,0,0,4,3831,147,0.038,1,ACSDT5Y2022,2024/04/23 16:27:07+00,REF-CDTR-0000000206,Yes,19379.9253277898,19331572.2883752
35,45,06085502902,1400000US06085502902,5029.02,"Census Tract 5029.02, Santa Clara County, California",9155,3041,1271,0.139,5554,0.607,52,0.006,2039,0.223,239,0.026,3601,0.393,1,178375,2,113102,220242,,207431,,3,8600,627,0.073,33,0.053,113,0.18,481,0.767,0,0,1,5985,228,0.038,1,ACSDT5Y2022,2024/04/23 16:25:51+00,REF-CDTR-0000000045,Yes,24297.5784345619,28289409.5172794
36,23,06085501901,1400000US06085501901,5019.01,"Census Tract 5019.01, Santa Clara County, California",2618,1299,588,0.225,816,0.312,258,0.099,780,0.298,176,0.067,1802,0.688,2,126917,3,142333,156905,,103239,413750,5,2565,555,0.216,176,0.317,32,0.058,256,0.461,91,0.164,3,2130,83,0.039,1,ACSDT5Y2022,2024/04/23 16:25:26+00,REF-CDTR-0000000023,Yes,11212.2233273719,6433770.80542319
37,218,06085506603,1400000US06085506603,5066.03,"Census Tract 5066.03, Santa Clara County, California",4252,1515,431,0.101,1924,0.452,6,0.001,1320,0.31,571,0.134,2328,0.548,1,250000,1,86220,210694,,250000,336339,2,4094,467,0.114,64,0.137,53,0.113,313,0.67,37,0.079,2,3010,116,0.039,1,ACSDT5Y2022,2024/04/23 16:27:07+00,REF-CDTR-0000000218,Yes,15312.1218182542,13772310.6222529
38,226,06085506802,1400000US06085506802,5068.02,"Census Tract 5068.02, Santa Clara County, California",5885,1946,933,0.159,2674,0.454,72,0.012,1761,0.299,445,0.076,3211,0.546,1,193981,1,160410,208236,,213472,161466,2,5619,588,0.105,173,0.294,55,0.094,355,0.604,5,0.009,1,4098,161,0.039,1,ACSDT5Y2022,2024/04/23 16:27:09+00,REF-CDTR-0000000226,Yes,24147.4581037245,21998226.6058126
39,96,06085503330,1400000US06085503330,5033.30,"Census Tract 5033.30, Santa Clara County, California",7156,2001,486,0.068,494,0.069,365,0.051,5701,0.797,110,0.015,6662,0.931,5,250000,1,250000,250000,,250000,250000,6,6917,842,0.122,16,0.019,160,0.19,666,0.791,0,0,2,4654,184,0.04,1,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000096,Yes,72242.243419309,191329678.108271
40,197,06085505800,1400000US06085505800,5058.00,"Census Tract 5058, Santa Clara County, California",4242,1633,1028,0.242,2096,0.494,80,0.019,893,0.211,145,0.034,2146,0.506,1,165750,2,127875,165167,,250000,304042,3,4101,254,0.062,40,0.157,34,0.134,148,0.583,32,0.126,1,3186,132,0.041,1,ACSDT5Y2022,2024/04/23 16:27:03+00,REF-CDTR-0000000197,Yes,22374.3120282523,18156953.6172668
41,5,06085500500,1400000US06085500500,5005.00,"Census Tract 5005, Santa Clara County, California",5020,2093,868,0.173,2986,0.595,207,0.041,745,0.148,214,0.043,2034,0.405,1,171885,2,154531,165352,,250000,233162,3,4824,389,0.081,168,0.432,78,0.201,143,0.368,0,0,1,4084,168,0.041,1,ACSDT5Y2022,2024/04/23 16:25:08+00,REF-CDTR-0000000005,Yes,22434.0238346495,22929354.6625275
42,204,06085506202,1400000US06085506202,5062.02,"Census Tract 5062.02, Santa Clara County, California",8409,2770,452,0.054,2514,0.299,405,0.048,4229,0.503,809,0.096,5895,0.701,2,175179,2,114024,180227,,178018,223427,4,7881,1735,0.22,208,0.12,190,0.11,1315,0.758,22,0.013,3,6056,249,0.041,1,ACSDT5Y2022,2024/04/23 16:27:06+00,REF-CDTR-0000000204,Yes,23623.5792101377,27066740.6833951
43,339,06085511905,1400000US06085511905,5119.05,"Census Tract 5119.05, Santa Clara County, California",2969,1009,77,0.026,1491,0.502,21,0.007,1305,0.44,75,0.025,1478,0.498,1,241440,1,,227500,,250000,,2,2903,446,0.154,0,0,99,0.222,347,0.778,0,0,2,1983,84,0.042,2,ACSDT5Y2022,2024/04/23 16:28:13+00,REF-CDTR-0000000339,Yes,18351.09986461,13611409.3881344
44,362,06085512031,1400000US06085512031,5120.31,"Census Tract 5120.31, Santa Clara County, California",4378,1377,993,0.227,1941,0.443,0,0,1118,0.255,326,0.074,2437,0.557,1,184917,1,179653,169375,,230750,211023,2,4186,342,0.082,76,0.222,30,0.088,236,0.69,0,0,1,3080,132,0.043,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000362,Yes,17846.8270841313,15452920.6675912
45,350,06085512001,1400000US06085512001,5120.01,"Census Tract 5120.01, Santa Clara County, California",6384,1836,954,0.149,1264,0.198,224,0.035,3149,0.493,793,0.124,5120,0.802,3,192176,1,230288,138672,117092,250000,354105,4,5883,780,0.133,91,0.117,47,0.06,570,0.731,72,0.092,2,4198,184,0.044,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000350,Yes,74726.6679139252,215770778.675918
46,208,06085506302,1400000US06085506302,5063.02,"Census Tract 5063.02, Santa Clara County, California",6180,2480,825,0.133,2861,0.463,435,0.07,1779,0.288,280,0.045,3319,0.537,1,180155,2,141146,162406,,197375,250000,3,5986,862,0.144,80,0.093,90,0.104,496,0.575,196,0.227,2,4614,207,0.045,2,ACSDT5Y2022,2024/04/23 16:27:07+00,REF-CDTR-0000000208,Yes,19337.7031745715,21680338.2200927
47,35,06085502400,1400000US06085502400,5024.00,"Census Tract 5024, Santa Clara County, California",6909,2745,1132,0.164,4594,0.665,79,0.011,631,0.091,473,0.068,2315,0.335,1,200324,1,95865,208688,,241343,,2,6518,582,0.089,381,0.655,73,0.125,128,0.22,0,0,1,5209,234,0.045,2,ACSDT5Y2022,2024/04/23 16:25:40+00,REF-CDTR-0000000035,Yes,26618.795558566,28841352.0874758
48,98,06085503332,1400000US06085503332,5033.32,"Census Tract 5033.32, Santa Clara County, California",5993,2833,814,0.136,3200,0.534,8,0.001,1581,0.264,390,0.065,2793,0.466,1,133872,3,,110678,,143741,,4,5935,320,0.054,68,0.213,56,0.175,181,0.566,15,0.047,1,5062,231,0.046,2,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000098,Yes,42734.9968357718,84859614.3165125
49,227,06085506803,1400000US06085506803,5068.03,"Census Tract 5068.03, Santa Clara County, California",7090,2288,986,0.139,3387,0.478,257,0.036,2184,0.308,276,0.039,3703,0.522,1,175938,2,71083,173452,,250000,95233,3,6849,743,0.108,92,0.124,82,0.11,503,0.677,66,0.089,1,4796,222,0.046,2,ACSDT5Y2022,2024/04/23 16:27:09+00,REF-CDTR-0000000227,Yes,19976.0587605926,24652705.2882592
50,52,06085503001,1400000US06085503001,5030.01,"Census Tract 5030.01, Santa Clara County, California",4455,1650,626,0.141,2781,0.624,80,0.018,588,0.132,380,0.085,1674,0.376,1,144254,3,98359,136250,143828,219375,190179,4,4095,183,0.045,44,0.24,60,0.328,79,0.432,0,0,1,3112,145,0.047,2,ACSDT5Y2022,2024/04/23 16:25:56+00,REF-CDTR-0000000052,Yes,19700.2072335264,18596777.8082529
51,27,06085502101,1400000US06085502101,5021.01,"Census Tract 5021.01, Santa Clara County, California",5045,2135,1080,0.214,2309,0.458,59,0.012,1232,0.244,365,0.072,2736,0.542,1,129258,3,,131591,,146250,165741,4,4837,486,0.1,87,0.179,88,0.181,306,0.63,5,0.01,1,3667,174,0.047,2,ACSDT5Y2022,2024/04/23 16:25:30+00,REF-CDTR-0000000027,Yes,21012.1118836458,20606221.236903
52,198,06085505901,1400000US06085505901,5059.01,"Census Tract 5059.01, Santa Clara County, California",4153,1595,299,0.072,2183,0.526,0,0,1395,0.336,276,0.066,1970,0.474,1,169421,2,,,,215119,,3,3917,463,0.118,110,0.238,0,0,337,0.728,16,0.035,2,3139,151,0.048,2,ACSDT5Y2022,2024/04/23 16:27:04+00,REF-CDTR-0000000198,Partial,17760.3300141516,13662451.6931434
53,381,06085512059,1400000US06085512059,5120.59,"Census Tract 5120.59, Santa Clara County, California",6927,2220,1731,0.25,2594,0.374,156,0.023,1955,0.282,491,0.071,4333,0.626,2,148700,3,166042,133568,,190508,83571,5,6591,831,0.126,270,0.325,81,0.097,446,0.537,34,0.041,2,4738,226,0.048,2,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000381,Yes,25159.7888313112,25398778.2429288
54,181,06085505014,1400000US06085505014,5050.14,"Census Tract 5050.14, Santa Clara County, California",6023,2560,1343,0.223,1064,0.177,183,0.03,3167,0.526,266,0.044,4959,0.823,3,137273,3,88750,122500,,158510,62019,6,5541,1179,0.213,301,0.255,142,0.12,646,0.548,90,0.076,3,4721,236,0.05,2,ACSDT5Y2022,2024/04/23 16:26:59+00,REF-CDTR-0000000181,Yes,17382.9342602638,12137544.2967208
55,44,06085502901,1400000US06085502901,5029.01,"Census Tract 5029.01, Santa Clara County, California",6213,2155,1532,0.247,3136,0.505,67,0.011,1149,0.185,329,0.053,3077,0.495,1,151010,3,87500,156838,,250000,285230,4,5881,963,0.164,352,0.366,468,0.486,143,0.148,0,0,2,4281,216,0.05,2,ACSDT5Y2022,2024/04/23 16:25:50+00,REF-CDTR-0000000044,Yes,21095.8957520266,20261458.6611936
56,40,06085502701,1400000US06085502701,5027.01,"Census Tract 5027.01, Santa Clara County, California",5611,2081,1274,0.227,2358,0.42,186,0.033,1345,0.24,448,0.08,3253,0.58,2,136691,3,95365,135694,,250000,64420,5,5139,525,0.102,102,0.194,171,0.326,219,0.417,33,0.063,1,3786,193,0.051,2,ACSDT5Y2022,2024/04/23 16:25:46+00,REF-CDTR-0000000040,Yes,19760.8581548421,18778169.7311281
57,47,06085502906,1400000US06085502906,5029.06,"Census Tract 5029.06, Santa Clara County, California",4995,1625,870,0.174,2467,0.494,137,0.027,1192,0.239,329,0.066,2528,0.506,1,122356,4,119813,121750,,156375,112031,5,4663,578,0.124,83,0.144,159,0.275,290,0.502,46,0.08,2,3469,183,0.053,2,ACSDT5Y2022,2024/04/23 16:25:53+00,REF-CDTR-0000000047,Yes,16489.400138356,16621523.6414921
