OBJECTID,FACILITYID,FIPSCODE,GEOID,CENSUSTRACT,GEOGRAPHICAREANAME,POPTOTAL,HOUSEHOLDCOUNT,RACEHISPANICORIGIN,RACEHISPANICRATIO,RACEWHITENONHISP,RACEWHITERATIO,RACEBLACKNONHISP,RACEBLACKRATIO,RACEASIANNONHISP,RACEASIANRATIO,RACEOTHER,RACEOTHERRATIO,RACEBIPOC,RACEBIPOCRATIO,EQUITYSCORERACE,INCMEDIANINCOME,EQUITYSCOREINCOME,INCMEDIANHISPANIC,INCMEDIANWHITE,INCMEDIANBLACK,INCMEDIANASIAN,INCMEDIANOTHER,EQUITYSCORECOMBINED,LANGGROUPPOPULATION,LEPTOTAL,LEPRATIO,LEPSPANISH,LEPSPANISHRATIO,LEPINDOEUROPEAN,LEPINDOEUROPEANRATIO,LEPASIANPACIFICISLAND,LEPASIANPACIFICISLANDRATIO,LEPOTHER,LEPOTHERRATIO,EQUITYSCORELANG,EDUGROUPPOPULATION,EDULESSTHANHS,EDULESSTHANHSRATIO,EQUITYSCOREEDU,LASTUPDATESOURCE,LASTUPDATE,ENTERPRISEID,INSANJOSE,Shape_Length,Shape_Area
117,135,06085504308,1400000US06085504308,5043.08,"Census Tract 5043.08, Santa Clara County, California",4895,1533,925,0.189,1110,0.227,26,0.005,2421,0.495,413,0.084,3785,0.773,3,179875,2,,171818,,250000,144595,5,4572,1046,0.229,66,0.063,69,0.066,911,0.871,0,0,3,3663,436,0.119,3,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000135,Yes,69334.2560419155,200328697.893525
118,356,06085512024,1400000US06085512024,5120.24,"Census Tract 5120.24, Santa Clara County, California",4977,1737,1222,0.246,2273,0.457,164,0.033,1008,0.203,310,0.062,2704,0.543,1,137275,3,72059,152667,54352,143798,126280,4,4788,1058,0.221,210,0.198,279,0.264,353,0.334,216,0.204,3,3521,419,0.119,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000356,Yes,16768.3188766486,17198746.8720573
119,368,06085512038,1400000US06085512038,5120.38,"Census Tract 5120.38, Santa Clara County, California",3142,1015,691,0.22,769,0.245,426,0.136,1196,0.381,60,0.019,2373,0.755,3,95795,5,53261,116758,,,53152,8,2848,399,0.14,40,0.1,82,0.206,257,0.644,20,0.05,2,1912,230,0.12,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000368,Yes,21389.8951172295,14851462.1554965
120,199,06085505902,1400000US06085505902,5059.02,"Census Tract 5059.02, Santa Clara County, California",3950,1799,928,0.235,1989,0.504,43,0.011,870,0.22,120,0.03,1961,0.496,1,105542,4,105833,98057,,169063,58560,5,3751,635,0.169,208,0.328,105,0.165,305,0.48,17,0.027,3,2931,355,0.121,3,ACSDT5Y2022,2024/04/23 16:27:05+00,REF-CDTR-0000000199,Partial,14278.3763741309,9494910.72768278
121,86,06085503313,1400000US06085503313,5033.13,"Census Tract 5033.13, Santa Clara County, California",4729,1254,522,0.11,730,0.154,77,0.016,3226,0.682,174,0.037,3999,0.846,4,197159,1,107768,,,250000,,5,4457,1253,0.281,92,0.073,132,0.105,1029,0.821,0,0,4,3097,378,0.122,3,ACSDT5Y2022,2024/04/23 16:26:17+00,REF-CDTR-0000000086,Yes,19893.4620179465,17285838.511945
122,70,06085503207,1400000US06085503207,5032.07,"Census Tract 5032.07, Santa Clara County, California",3589,926,399,0.111,261,0.073,213,0.059,2658,0.741,58,0.016,3328,0.927,5,131250,3,,173182,81375,142250,,8,3465,1172,0.338,99,0.084,36,0.031,1037,0.885,0,0,4,2576,317,0.123,3,ACSDT5Y2022,2024/04/23 16:26:11+00,REF-CDTR-0000000070,Yes,19232.5264031347,13884296.1907335
123,182,06085505015,1400000US06085505015,5050.15,"Census Tract 5050.15, Santa Clara County, California",5229,1834,1559,0.298,1042,0.199,23,0.004,2190,0.419,415,0.079,4187,0.801,3,173345,2,148060,155078,,224263,147726,5,4878,1447,0.297,536,0.37,435,0.301,476,0.329,0,0,4,3789,465,0.123,3,ACSDT5Y2022,2024/04/23 16:26:59+00,REF-CDTR-0000000182,Yes,28434.8568606575,24331046.2649031
124,353,06085512021,1400000US06085512021,5120.21,"Census Tract 5120.21, Santa Clara County, California",6133,2036,931,0.152,2271,0.37,222,0.036,2393,0.39,316,0.052,3862,0.63,2,144632,3,187688,161364,250000,131384,167188,5,5671,1194,0.211,200,0.168,178,0.149,816,0.683,0,0,3,4475,551,0.123,3,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000353,Yes,19215.8327643038,17327319.4116285
125,146,06085504323,1400000US06085504323,5043.23,"Census Tract 5043.23, Santa Clara County, California",5733,1846,443,0.077,760,0.133,11,0.002,4219,0.736,300,0.052,4973,0.867,4,146667,3,178106,,,149191,,7,5193,1866,0.359,156,0.084,99,0.053,1605,0.86,6,0.003,5,4193,524,0.125,3,ACSDT5Y2022,2024/04/23 16:26:40+00,REF-CDTR-0000000146,Yes,19066.2873196942,13831696.9599332
126,34,06085502302,1400000US06085502302,5023.02,"Census Tract 5023.02, Santa Clara County, California",3332,1341,1437,0.431,1493,0.448,124,0.037,208,0.062,70,0.021,1839,0.552,1,120821,4,143829,115057,113929,,307889,5,3176,507,0.16,294,0.58,188,0.371,25,0.049,0,0,2,2534,319,0.126,3,ACSDT5Y2022,2024/04/23 16:25:39+00,REF-CDTR-0000000034,Yes,11516.6712791208,7256367.66462123
127,24,06085501902,1400000US06085501902,5019.02,"Census Tract 5019.02, Santa Clara County, California",3385,1693,1446,0.427,889,0.263,29,0.009,875,0.258,146,0.043,2496,0.737,3,142981,3,95788,197232,88087,157404,189154,6,3204,379,0.118,310,0.818,19,0.05,50,0.132,0,0,2,2573,323,0.126,3,ACSDT5Y2022,2024/04/23 16:25:27+00,REF-CDTR-0000000024,Yes,13733.8481949923,11458341.1444422
128,90,06085503323,1400000US06085503323,5033.23,"Census Tract 5033.23, Santa Clara County, California",3750,1014,1251,0.334,384,0.102,50,0.013,2022,0.539,43,0.011,3366,0.898,4,156186,2,,178750,,156779,84143,6,3590,1020,0.284,205,0.201,16,0.016,799,0.783,0,0,4,2612,330,0.126,3,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000090,Yes,14487.1814011862,12182137.5070487
129,91,06085503324,1400000US06085503324,5033.24,"Census Tract 5033.24, Santa Clara County, California",3420,908,576,0.168,374,0.109,56,0.016,2233,0.653,181,0.053,3046,0.891,4,158404,2,152917,156250,,156563,250000,6,3334,833,0.25,141,0.169,49,0.059,643,0.772,0,0,3,2406,318,0.132,3,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000091,Yes,12851.0787720797,8911346.71907807
130,183,06085505100,1400000US06085505100,5051.00,"Census Tract 5051, Santa Clara County, California",4389,2050,1607,0.366,818,0.186,169,0.039,1660,0.378,135,0.031,3571,0.814,3,103378,4,81250,144271,,146406,,7,4015,777,0.194,268,0.345,52,0.067,457,0.588,0,0,3,3383,445,0.132,3,ACSDT5Y2022,2024/04/23 16:26:59+00,REF-CDTR-0000000183,Yes,39188.1297667607,74978773.4630134
131,143,06085504320,1400000US06085504320,5043.20,"Census Tract 5043.20, Santa Clara County, California",3000,912,241,0.08,416,0.139,40,0.013,2163,0.721,140,0.047,2584,0.861,4,176500,2,181406,126250,,190125,417797,6,2930,864,0.295,58,0.067,46,0.053,760,0.88,0,0,4,2298,309,0.134,3,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000143,Yes,12367.1300284292,9943494.73328326
132,134,06085504307,1400000US06085504307,5043.07,"Census Tract 5043.07, Santa Clara County, California",5740,1848,1132,0.197,529,0.092,25,0.004,3869,0.674,185,0.032,5211,0.908,4,144604,3,142794,120765,,190347,143618,7,5363,1666,0.311,488,0.293,65,0.039,1113,0.668,0,0,4,4014,551,0.137,3,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000134,Yes,21001.5624887447,18192303.2904872
133,31,06085502203,1400000US06085502203,5022.03,"Census Tract 5022.03, Santa Clara County, California",4211,1775,1223,0.29,1549,0.368,193,0.046,1002,0.238,244,0.058,2662,0.632,2,132125,3,99306,130750,,181080,229114,5,4083,796,0.195,331,0.416,97,0.122,289,0.363,79,0.099,3,3505,496,0.142,3,ACSDT5Y2022,2024/04/23 16:25:34+00,REF-CDTR-0000000031,Yes,12115.4790441799,6930118.07718995
134,49,06085502908,1400000US06085502908,5029.08,"Census Tract 5029.08, Santa Clara County, California",6464,2196,1551,0.24,3255,0.504,0,0,1277,0.198,381,0.059,3209,0.496,1,129412,3,,132109,,231705,,4,5943,945,0.159,615,0.651,72,0.076,258,0.273,0,0,2,4338,630,0.145,4,ACSDT5Y2022,2024/04/23 16:25:53+00,REF-CDTR-0000000049,Yes,19222.4403074547,22381750.0965951
135,216,06085506505,1400000US06085506505,5065.05,"Census Tract 5065.05, Santa Clara County, California",4333,1409,1782,0.411,1219,0.281,292,0.067,989,0.228,51,0.012,3114,0.719,3,132950,3,69886,144859,144444,132700,267830,6,3842,1105,0.288,647,0.586,164,0.148,279,0.252,15,0.014,4,2833,413,0.146,4,ACSDT5Y2022,2024/04/23 16:27:07+00,REF-CDTR-0000000216,Yes,12796.0668253684,7076522.53247619
136,139,06085504316,1400000US06085504316,5043.16,"Census Tract 5043.16, Santa Clara County, California",5410,1510,957,0.177,357,0.066,7,0.001,3978,0.735,111,0.021,5053,0.934,5,174706,2,150833,182679,,190096,289325,7,5170,1827,0.353,304,0.166,25,0.014,1498,0.82,0,0,5,3991,582,0.146,4,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000139,Yes,16501.9575587875,12146051.0170061
137,25,06085502001,1400000US06085502001,5020.01,"Census Tract 5020.01, Santa Clara County, California",4767,2032,1853,0.389,1805,0.379,70,0.015,836,0.175,203,0.043,2962,0.621,2,106477,4,116493,123681,69524,94853,212756,6,4478,860,0.192,401,0.466,112,0.13,347,0.403,0,0,3,3618,531,0.147,4,ACSDT5Y2022,2024/04/23 16:25:27+00,REF-CDTR-0000000025,Yes,17723.3713671019,14354507.8200171
138,355,06085512023,1400000US06085512023,5120.23,"Census Tract 5120.23, Santa Clara County, California",5737,1927,2524,0.44,1088,0.19,358,0.062,1309,0.228,458,0.08,4649,0.81,3,98722,5,75598,130224,,173148,232574,8,5310,823,0.155,361,0.439,91,0.111,260,0.316,111,0.135,2,3925,580,0.148,4,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000355,Yes,12843.2394283938,10214842.902328
139,29,06085502104,1400000US06085502104,5021.04,"Census Tract 5021.04, Santa Clara County, California",2634,982,1099,0.417,832,0.316,57,0.022,395,0.15,251,0.095,1802,0.684,2,121875,4,93152,187656,,159837,,6,2541,556,0.219,352,0.633,64,0.115,97,0.174,43,0.077,3,1955,291,0.149,4,ACSDT5Y2022,2024/04/23 16:25:32+00,REF-CDTR-0000000029,Yes,12848.361754698,8293042.17091526
140,346,06085511915,1400000US06085511915,5119.15,"Census Tract 5119.15, Santa Clara County, California",4055,1384,1954,0.482,1082,0.267,0,0,930,0.229,89,0.022,2973,0.733,3,93382,5,80625,,,230537,194958,8,3602,995,0.276,610,0.613,41,0.041,156,0.157,188,0.189,4,2478,368,0.149,4,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000346,Yes,15773.909199262,12120491.5077142
141,210,06085506305,1400000US06085506305,5063.05,"Census Tract 5063.05, Santa Clara County, California",5638,2077,1755,0.311,1566,0.278,605,0.107,1367,0.242,345,0.061,4072,0.722,3,94777,5,77048,97391,94598,91446,99797,8,5323,1249,0.235,429,0.343,120,0.096,611,0.489,89,0.071,3,3925,587,0.15,4,ACSDT5Y2022,2024/04/23 16:27:07+00,REF-CDTR-0000000210,Yes,14866.3814310594,11761873.4486057
142,85,06085503312,1400000US06085503312,5033.12,"Census Tract 5033.12, Santa Clara County, California",3540,1073,1064,0.301,897,0.253,462,0.131,1035,0.292,82,0.023,2643,0.747,3,175927,2,118177,210227,175754,203000,243912,5,3223,662,0.205,257,0.388,85,0.128,320,0.483,0,0,3,2598,391,0.151,4,ACSDT5Y2022,2024/04/23 16:26:17+00,REF-CDTR-0000000085,Yes,79823.5391506308,162162588.840081
143,140,06085504317,1400000US06085504317,5043.17,"Census Tract 5043.17, Santa Clara County, California",3763,1037,645,0.171,350,0.093,10,0.003,2652,0.705,106,0.028,3413,0.907,4,157610,2,136198,160192,,168382,136354,6,3577,895,0.25,47,0.053,74,0.083,774,0.865,0,0,3,2860,443,0.155,4,ACSDT5Y2022,2024/04/23 16:26:38+00,REF-CDTR-0000000140,Yes,16988.8629385565,12818619.8400482
144,68,06085503126,1400000US06085503126,5031.26,"Census Tract 5031.26, Santa Clara County, California",3770,1303,1096,0.291,543,0.144,232,0.062,1797,0.477,102,0.027,3227,0.856,4,136865,3,133986,235417,65000,207946,135545,7,3459,891,0.258,311,0.349,15,0.017,545,0.612,20,0.022,3,2487,403,0.162,4,ACSDT5Y2022,2024/04/23 16:26:10+00,REF-CDTR-0000000068,Yes,21080.8804985779,16630588.3927965
145,22,06085501800,1400000US06085501800,5018.00,"Census Tract 5018, Santa Clara County, California",4622,1717,2220,0.48,1786,0.386,71,0.015,364,0.079,181,0.039,2836,0.614,2,137708,3,97630,233542,62917,250000,118393,5,4225,708,0.168,628,0.887,31,0.044,49,0.069,0,0,3,3207,531,0.166,4,ACSDT5Y2022,2024/04/23 16:25:26+00,REF-CDTR-0000000022,Yes,15760.741250636,15376637.2871218
146,32,06085502204,1400000US06085502204,5022.04,"Census Tract 5022.04, Santa Clara County, California",3242,1206,845,0.261,1164,0.359,395,0.122,728,0.225,110,0.034,2078,0.641,2,67552,5,43000,78448,41328,75625,26523,7,2898,672,0.232,374,0.557,132,0.196,114,0.17,52,0.077,3,2038,343,0.168,4,ACSDT5Y2022,2024/04/23 16:25:36+00,REF-CDTR-0000000032,Yes,10189.7443628859,3564103.04143454
147,100,06085503336,1400000US06085503336,5033.36,"Census Tract 5033.36, Santa Clara County, California",3081,830,708,0.23,161,0.052,77,0.025,2039,0.662,96,0.031,2920,0.948,5,144000,3,90368,250000,,163500,239974,8,2931,859,0.293,119,0.139,91,0.106,642,0.747,7,0.008,4,2182,380,0.174,4,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000100,Yes,13723.545613832,9745460.7180956
148,92,06085503325,1400000US06085503325,5033.25,"Census Tract 5033.25, Santa Clara County, California",4391,1138,1127,0.257,333,0.076,77,0.018,2764,0.629,90,0.02,4058,0.924,5,172955,2,141984,176786,,174659,306871,7,4232,1353,0.32,308,0.228,53,0.039,992,0.733,0,0,4,3166,570,0.18,4,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000092,Yes,16016.1936373356,12252649.3965559
149,1,06085500100,1400000US06085500100,5001.00,"Census Tract 5001, Santa Clara County, California",7903,2872,3941,0.499,1200,0.152,527,0.067,1787,0.226,448,0.057,6703,0.848,4,154868,2,99519,195357,236029,174620,255000,6,7321,2026,0.277,1607,0.793,22,0.011,397,0.196,0,0,4,5532,994,0.18,4,ACSDT5Y2022,2024/04/23 16:24:55+00,REF-CDTR-0000000001,Yes,19857.6306217537,20687425.8718169
150,13,06085501200,1400000US06085501200,5012.00,"Census Tract 5012, Santa Clara County, California",4345,1460,2106,0.485,1456,0.335,88,0.02,550,0.127,145,0.033,2889,0.665,2,106500,4,84185,145573,,,205213,6,4168,541,0.13,297,0.549,0,0,244,0.451,0,0,2,2736,509,0.186,4,ACSDT5Y2022,2024/04/23 16:25:18+00,REF-CDTR-0000000013,Yes,12420.9772904167,8946602.33459111
151,124,06085503803,1400000US06085503803,5038.03,"Census Tract 5038.03, Santa Clara County, California",4988,1242,1573,0.315,396,0.079,111,0.022,2683,0.538,225,0.045,4592,0.921,4,162500,2,117353,138083,,178188,76544,6,4651,1749,0.376,642,0.367,123,0.07,984,0.563,0,0,5,3393,631,0.186,4,ACSDT5Y2022,2024/04/23 16:26:33+00,REF-CDTR-0000000124,Yes,15400.1239239996,11329673.3220901
152,379,06085512057,1400000US06085512057,5120.57,"Census Tract 5120.57, Santa Clara County, California",4125,998,1935,0.469,1081,0.262,41,0.01,1056,0.256,12,0.003,3044,0.738,3,151146,3,128257,193699,,191731,79400,6,3965,914,0.231,556,0.608,0,0,306,0.335,52,0.057,3,3127,589,0.188,4,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000379,Yes,18110.2114205065,14761727.8193438
153,148,06085504411,1400000US06085504411,5044.11,"Census Tract 5044.11, Santa Clara County, California",5901,1580,904,0.153,951,0.161,55,0.009,3806,0.645,185,0.031,4950,0.839,3,178333,2,114764,156429,,191396,113480,5,5694,1561,0.274,197,0.126,82,0.053,1282,0.821,0,0,4,4099,769,0.188,4,ACSDT5Y2022,2024/04/23 16:26:41+00,REF-CDTR-0000000148,Yes,16035.9324944754,14690145.7513498
154,88,06085503321,1400000US06085503321,5033.21,"Census Tract 5033.21, Santa Clara County, California",4301,1103,584,0.136,247,0.057,35,0.008,3371,0.784,64,0.015,4054,0.943,5,159375,2,136500,250000,,169250,138750,7,4089,1564,0.382,64,0.041,127,0.081,1373,0.878,0,0,5,3400,647,0.19,4,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000088,Yes,19484.1947357232,21531230.3923544
155,12,06085501102,1400000US06085501102,5011.02,"Census Tract 5011.02, Santa Clara County, California",4191,1354,2795,0.667,985,0.235,0,0,266,0.063,145,0.035,3206,0.765,3,134250,3,123125,142381,,168456,247095,6,3978,448,0.113,341,0.761,61,0.136,46,0.103,0,0,2,3047,582,0.191,4,ACSDT5Y2022,2024/04/23 16:25:17+00,REF-CDTR-0000000012,Yes,15188.5284423503,13186082.5673879
156,123,06085503802,1400000US06085503802,5038.02,"Census Tract 5038.02, Santa Clara County, California",7937,2040,3358,0.423,711,0.09,151,0.019,2916,0.367,801,0.101,7226,0.91,4,124659,4,150958,100000,,120455,312824,8,7679,2111,0.275,1037,0.491,102,0.048,972,0.46,0,0,4,5398,1039,0.192,4,ACSDT5Y2022,2024/04/23 16:26:32+00,REF-CDTR-0000000123,Yes,17147.3126614419,18027647.5640204
157,79,06085503220,1400000US06085503220,5032.20,"Census Tract 5032.20, Santa Clara County, California",5092,1351,2893,0.568,290,0.057,82,0.016,1333,0.262,494,0.097,4802,0.943,5,91650,5,115236,,,61250,355859,10,4927,1367,0.277,606,0.443,54,0.04,707,0.517,0,0,4,3480,671,0.193,4,ACSDT5Y2022,2024/04/23 16:26:17+00,REF-CDTR-0000000079,Yes,13899.311586669,10224376.6170431
158,117,06085503708,1400000US06085503708,5037.08,"Census Tract 5037.08, Santa Clara County, California",2662,713,528,0.198,101,0.038,2,0.001,2010,0.755,21,0.008,2561,0.962,5,108281,4,160368,72708,,94107,162353,9,2539,1121,0.442,127,0.113,25,0.022,969,0.864,0,0,5,1995,390,0.195,4,ACSDT5Y2022,2024/04/23 16:26:29+00,REF-CDTR-0000000117,Yes,14731.57395152,13126772.4441444
159,62,06085503118,1400000US06085503118,5031.18,"Census Tract 5031.18, Santa Clara County, California",4413,1517,1903,0.431,485,0.11,167,0.038,1468,0.333,390,0.088,3928,0.89,4,92656,5,73667,137750,115688,119688,204613,9,4226,1144,0.271,706,0.617,13,0.011,425,0.372,0,0,4,3121,609,0.195,4,ACSDT5Y2022,2024/04/23 16:26:04+00,REF-CDTR-0000000062,Yes,11456.6174893093,6092495.99033393
160,20,06085501602,1400000US06085501602,5016.02,"Census Tract 5016.02, Santa Clara County, California",3255,1262,1800,0.553,748,0.23,186,0.057,292,0.09,229,0.07,2507,0.77,3,47000,5,56220,40806,,,103560,8,3218,532,0.165,436,0.82,0,0,49,0.092,47,0.088,2,2061,407,0.197,4,ACSDT5Y2022,2024/04/23 16:25:24+00,REF-CDTR-0000000020,Yes,9759.68292386028,4695292.9444591
161,28,06085502103,1400000US06085502103,5021.03,"Census Tract 5021.03, Santa Clara County, California",4261,1647,1857,0.436,1270,0.298,383,0.09,610,0.143,141,0.033,2991,0.702,2,81283,5,47109,87414,,,112631,7,4131,1067,0.258,712,0.667,83,0.078,264,0.247,8,0.007,3,3207,659,0.205,4,ACSDT5Y2022,2024/04/23 16:25:31+00,REF-CDTR-0000000028,Yes,15018.1794336044,11083759.7683534
162,60,06085503116,1400000US06085503116,5031.16,"Census Tract 5031.16, Santa Clara County, California",6469,2406,1823,0.282,1834,0.284,506,0.078,2226,0.344,80,0.012,4635,0.716,3,103972,4,104900,114107,158182,77273,157069,7,6094,1375,0.226,283,0.206,80,0.058,983,0.715,29,0.021,3,4698,963,0.205,4,ACSDT5Y2022,2024/04/23 16:26:01+00,REF-CDTR-0000000060,Yes,15675.9669894538,12286267.7931674
163,101,06085503337,1400000US06085503337,5033.37,"Census Tract 5033.37, Santa Clara County, California",4330,1051,729,0.168,232,0.054,172,0.04,3054,0.705,143,0.033,4098,0.946,5,130568,3,102279,,92969,149219,310863,8,4165,1591,0.382,187,0.118,200,0.126,1204,0.757,0,0,5,3096,638,0.206,4,ACSDT5Y2022,2024/04/23 16:26:18+00,REF-CDTR-0000000101,Yes,12409.1100080429,8244180.8744631
164,369,06085512039,1400000US06085512039,5120.39,"Census Tract 5120.39, Santa Clara County, California",6127,1445,3135,0.512,480,0.078,299,0.049,2184,0.356,29,0.005,5647,0.922,4,134594,3,137746,146250,,126964,400896,7,5784,1599,0.276,578,0.361,16,0.01,1005,0.629,0,0,4,3902,839,0.215,4,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000369,Yes,22897.4398183133,14981898.6901902
165,147,06085504410,1400000US06085504410,5044.10,"Census Tract 5044.10, Santa Clara County, California",4124,1187,963,0.234,511,0.124,114,0.028,2397,0.581,139,0.034,3613,0.876,4,143173,3,92981,150278,,156429,73603,7,3996,1458,0.365,272,0.187,70,0.048,1116,0.765,0,0,5,3252,704,0.216,4,ACSDT5Y2022,2024/04/23 16:26:41+00,REF-CDTR-0000000147,Yes,15650.566213451,11861978.724342
166,74,06085503212,1400000US06085503212,5032.12,"Census Tract 5032.12, Santa Clara County, California",4176,991,612,0.147,201,0.048,108,0.026,3084,0.739,171,0.041,3975,0.952,5,116375,4,135893,172750,,108142,359766,9,3985,1887,0.474,168,0.089,0,0,1719,0.911,0,0,5,3137,687,0.219,4,ACSDT5Y2022,2024/04/23 16:26:15+00,REF-CDTR-0000000074,Yes,23006.9249500772,17988808.8608023
167,116,06085503707,1400000US06085503707,5037.07,"Census Tract 5037.07, Santa Clara County, California",5264,1353,2954,0.561,103,0.02,135,0.026,1984,0.377,88,0.017,5161,0.98,5,100375,5,78375,77000,,109342,270020,10,5040,2162,0.429,1037,0.48,118,0.055,1007,0.466,0,0,5,3681,811,0.22,4,ACSDT5Y2022,2024/04/23 16:26:28+00,REF-CDTR-0000000116,Yes,11366.6641988199,8116401.29296501
168,66,06085503124,1400000US06085503124,5031.24,"Census Tract 5031.24, Santa Clara County, California",5747,1726,1916,0.333,854,0.149,800,0.139,1849,0.322,328,0.057,4893,0.851,4,100742,4,101191,,,124650,145288,8,5509,1884,0.342,648,0.344,14,0.007,995,0.528,227,0.12,4,3718,821,0.221,4,ACSDT5Y2022,2024/04/23 16:26:09+00,REF-CDTR-0000000066,Yes,24793.8491717594,16925863.6135648
169,63,06085503121,1400000US06085503121,5031.21,"Census Tract 5031.21, Santa Clara County, California",5056,1522,3247,0.642,431,0.085,248,0.049,893,0.177,237,0.047,4625,0.915,4,74063,5,74375,70139,158250,,146114,9,4827,1378,0.285,826,0.599,0,0,505,0.366,47,0.034,4,3494,779,0.223,4,ACSDT5Y2022,2024/04/23 16:26:05+00,REF-CDTR-0000000063,Yes,20590.3935138573,23097543.1408167
170,26,06085502002,1400000US06085502002,5020.02,"Census Tract 5020.02, Santa Clara County, California",5308,1810,3038,0.572,1365,0.257,163,0.031,550,0.104,192,0.036,3943,0.743,3,106813,4,86699,156641,,230000,213333,7,5038,1325,0.263,1052,0.794,10,0.008,209,0.158,54,0.041,4,3433,785,0.229,4,ACSDT5Y2022,2024/04/23 16:25:29+00,REF-CDTR-0000000026,Yes,15834.0983235143,9686867.31253288
171,354,06085512022,1400000US06085512022,5120.22,"Census Tract 5120.22, Santa Clara County, California",6217,1854,1659,0.267,1211,0.195,131,0.021,2936,0.472,280,0.045,5006,0.805,3,89831,5,96343,81734,78864,85577,128935,8,5775,2005,0.347,316,0.158,134,0.067,1555,0.776,0,0,5,4435,1030,0.232,4,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000354,Yes,14422.8382282562,11054762.1754068
172,127,06085503903,1400000US06085503903,5039.03,"Census Tract 5039.03, Santa Clara County, California",3083,841,1195,0.388,420,0.136,11,0.004,1433,0.465,24,0.008,2663,0.864,4,119548,4,88807,118697,,145950,210707,8,3004,983,0.327,309,0.314,75,0.076,586,0.596,13,0.013,4,2229,531,0.238,4,ACSDT5Y2022,2024/04/23 16:26:35+00,REF-CDTR-0000000127,Yes,12992.5803327565,9979719.30191959
173,65,06085503123,1400000US06085503123,5031.23,"Census Tract 5031.23, Santa Clara County, California",3777,1642,1961,0.519,718,0.19,204,0.054,591,0.156,303,0.08,3059,0.81,3,57772,5,61322,44850,22569,68487,120762,8,3729,795,0.213,499,0.628,0,0,251,0.316,45,0.057,3,2691,643,0.239,4,ACSDT5Y2022,2024/04/23 16:26:08+00,REF-CDTR-0000000065,Yes,12376.2789988182,7416415.55364387
174,378,06085512056,1400000US06085512056,5120.56,"Census Tract 5120.56, Santa Clara County, California",3125,1008,1308,0.419,804,0.257,49,0.016,685,0.219,279,0.089,2321,0.743,3,101111,4,83750,112582,,151333,,7,3010,803,0.267,532,0.663,14,0.017,257,0.32,0,0,4,2268,562,0.248,4,ACSDT5Y2022,2024/04/23 16:28:16+00,REF-CDTR-0000000378,Yes,14107.0786359734,10171810.1059081
175,17,06085501501,1400000US06085501501,5015.01,"Census Tract 5015.01, Santa Clara County, California",4159,1323,2248,0.541,316,0.076,197,0.047,1194,0.287,204,0.049,3843,0.924,5,75179,5,64526,230063,,76217,105260,10,3740,1745,0.467,1054,0.604,70,0.04,577,0.331,44,0.025,5,2747,681,0.248,4,ACSDT5Y2022,2024/04/23 16:25:21+00,REF-CDTR-0000000017,Yes,10854.1968313506,6711269.42650577
